word,freq
george,15
cell,15
war,15
trust,14
worth,14
earth,14
worked,14
nobody,14
taught,14
heads,14
along,14
doll,14
rocks,14
cat,14
air,14
drive,14
cold,14
chance,14
straight,14
met,14
also,14
whatd,14
thatll,14
point,14
monster,14
cartoon,14
send,14
wake,14
future,14
order,14
french,14
dance,14
bully,14
fast,14
shot,14
worst,14
everyones,14
bird,14
passed,14
terrible,13
ugh,13
finished,13
turned,13
teeth,13
stink,13
letter,13
theyve,13
coffee,13
voice,13
bunch,13
gas,13
hour,13
safety,13
smart,13
bear,13
jimbo,13
leaving,13
pass,13
count,13
advice,13
gun,13
low,13
human,13
scary,13
pizza,13
past,13
iunno,13
ticket,13
dark,13
short,13
joe,13
jump,13
join,13
worse,13
cash,13
married,13
cheer,13
birds,13
meat,13
history,13
sad,13
skinners,13
realize,13
seat,13
favorite,13
hurry,12
comics,12
rules,12
mister,12
mail,12
gives,12
touch,12
field,12
stole,12
late,12
twenty,12
talkin,12
dirty,12
drop,12
using,12
question,12
driving,12
fill,12
gold,12
moe,12
hide,12
tape,12
president,12
cookies,12
sucker,12
honest,12
wear,12
boat,12
gotcha,12
shoot,12
brains,12
gee,12
miles,12
truth,12
coolest,12
report,12
longer,12
choice,12
city,12
army,12
folks,12
innocent,12
brain,12
happens,12
snow,12
flag,12
nooo,12
cover,12
stealing,12
important,12
extra,12
vacation,12
taken,12
camera,12
owe,12
feet,12
moom,12
losers,12
american,12
sound,12
punch,12
buck,12
angry,12
internet,12
video,11
guts,11
afternoon,11
ottoman,11
moment,11
empty,11
cars,11
ugly,11
sometimes,11
uhhuh,11
sis,11
seven,11
soon,11
forgive,11
waiting,11
lots,11
plenty,11
poop,11
paint,11
build,11
drink,11
doctor,11
spent,11
deserve,11
cost,11
kidding,11
absolutely,11
ahead,11
problemo,11
cheese,11
uncle,11
spit,11
loved,11
chocolate,11
proud,11
fired,11
woman,11
small,11
handle,11
follow,11
yay,11
chicken,11
outside,11
fruit,11
character,11
greatest,11
ago,11
jesus,11
horrible,11
nerds,11
ned,11
hows,11
learning,11
elephant,11
seem,11
sense,11
ran,11
saturday,11
biggest,11
pool,11
garbage,11
words,11
seeing,11
exactly,11
behind,11
cake,11
whyd,11
lived,11
robot,11
roll,11
bill,11
bastard,11
fighting,10
wasted,10
respect,10
taste,10
forgot,10
telling,10
played,10
cents,10
laugh,10
arm,10
pie,10
wed,10
sunday,10
dreams,10
destroy,10
lucky,10
wet,10
michael,10
green,10
smells,10
putting,10
channel,10
explain,10
crime,10
tony,10
simpsons,10
less,10
missing,10
meant,10
visit,10
teddy,10
planet,10
though,10
groundskeeper,10
finish,10
geez,10
cops,10
leaves,10
notice,10
court,10
whose,10
selma,10
syrup,10
running,10
cry,10
spell,10
robots,10
amen,10
figure,10
hug,10
hungry,10
witch,10
judge,10
threw,10
covered,10
drunk,10
unless,10
dangerous,10
feed,10
wrote,10
knife,10
nerd,10
window,10
seems,10
helping,10
born,10
land,10
fourth,10
jessica,10
stomach,10
hilarious,10
salad,10
oops,10
whered,10
key,10
hasnt,10
killing,10
totally,10
shoes,10
horse,10
pile,10
movies,10
animals,10
burger,9
slow,9
rather,9
reason,9
accident,9
boss,9
keeps,9
goodnight,9
children,9
bowl,9
closer,9
religion,9
building,9
couch,9
martins,9
evil,9
invented,9
bath,9
ohhh,9
created,9
mama,9
wall,9
fell,9
joke,9
cigarette,9
fake,9
starting,9
letters,9
wreck,9
bank,9
hospital,9
suit,9
boyfriend,9
high,9
sisters,9
sitting,9
asking,9
final,9
original,9
crush,9
broke,9
tooth,9
slipped,9
looked,9
square,9
white,9
dress,9
popular,9
bought,9
entire,9
college,9
breakfast,9
wild,9
leg,9
chalmers,9
case,9
charlie,9
murder,9
americas,9
dirt,9
kick,9
treehouse,9
project,9
shouldve,9
changed,9
road,9
luck,9
mothers,9
rat,9
third,9
admit,9
strike,9
scar,9
takes,9
flying,9
blows,9
across,9
guard,9
stories,9
treasure,9
dork,9
fish,9
bullies,9
idiot,9
toy,9
lied,9
bar,9
ohh,9
king,9
screwed,9
toys,9
lead,9
thisll,9
study,9
tie,8
nine,8
ghost,8
sun,8
bartman,8
hose,8
somethings,8
gift,8
jackson,8
cares,8
button,8
push,8
paying,8
peace,8
dunno,8
dig,8
buddy,8
rabbi,8
names,8
career,8
faster,8
famous,8
crash,8
drinking,8
wonderful,8
sent,8
larry,8
nose,8
age,8
schedule,8
club,8
wiggum,8
natural,8
eggs,8
pump,8
rough,8
surprised,8
magic,8
cooties,8
note,8
raise,8
bottom,8
wash,8
hole,8
blue,8
blind,8
testing,8
doc,8
shop,8
setting,8
shall,8
america,8
plane,8
mistake,8
aww,8
normal,8
animal,8
busy,8
track,8
babies,8
presents,8
gramma,8
company,8
wife,8
felt,8
til,8
named,8
basket,8
impossible,8
classic,8
none,8
hed,8
revenge,8
sold,8
load,8
guns,8
factory,8
cruise,8
cats,8
marry,8
werent,8
meeting,8
pills,8
bye,8
early,8
buried,8
mmm,8
state,8
chair,8
goliath,8
farm,8
pathetic,8
vote,7
list,7
grab,7
happening,7
pal,7
rip,7
oooh,7
ahh,7
cheap,7
ear,7
tickets,7
writing,7
burn,7
zero,7
steal,7
bible,7
tight,7
legs,7
commercial,7
fatso,7
miracle,7
mans,7
forty,7
law,7
bent,7
brown,7
walking,7
radio,7
thousands,7
gotten,7
xray,7
climb,7
todays,7
squishee,7
level,7
treat,7
trees,7
local,7
delicious,7
todd,7
sock,7
bottle,7
chop,7
gross,7
upset,7
detention,7
shell,7
edna,7
photo,7
nelsons,7
fool,7
single,7
trade,7
girlfriend,7
freak,7
herb,7
excellent,7
camp,7
gorge,7
zombie,7
selling,7
imagination,7
control,7
older,7
keys,7
underwear,7
skateboard,7
fan,7
cupcakes,7
charge,7
sauce,7
according,7
record,7
screw,7
score,7
sing,7
danger,7
rubber,7
calling,7
cast,7
corn,7
beats,7
humor,7
table,7
trash,7
action,7
afford,7
offense,7
hoping,7
completely,7
sports,7
seriously,7
whatcha,7
service,7
science,7
sky,7
office,7
singing,7
fear,7
pleasure,7
yellow,7
grown,7
van,7
asleep,7
ideas,7
magazine,7
careful,7
sergeant,7
park,7
warm,7
middle,7
given,7
possible,7
major,7
booger,7
pet,7
giant,7
drown,7
monsters,7
shoe,7
snowball,7
match,7
nap,7
boogers,7
cereal,7
dancing,7
songs,7
pee,7
egg,7
greta,7
hawk,7
plate,7
pedal,7
valentine,7
bound,6
dry,6
adult,6
thirty,6
apu,6
product,6
form,6
pain,6
copy,6
apple,6
turns,6
locked,6
cesspool,6
electricity,6
fingers,6
lines,6
lovejoy,6
reverend,6
double,6
nest,6
speaking,6
riding,6
duh,6
derby,6
built,6
dammit,6
sees,6
pregnant,6
dee,6
message,6
rod,6
fit,6
speak,6
divorced,6
date,6
whoever,6
honey,6
officer,6
cop,6
blame,6
simple,6
english,6
violence,6
behold,6
ways,6
daughter,6
master,6
unky,6
ring,6
closet,6
fact,6
brand,6
enemies,6
neither,6
wondering,6
bloody,6
suckers,6
wolf,6
washed,6
trained,6
sea,6
bug,6
rule,6
mob,6
weekend,6
satan,6
station,6
bigger,6
higher,6
whee,6
smoking,6
finger,6
arrrgh,6
queen,6
beans,6
snakes,6
butter,6
ruin,6
yesm,6
basement,6
rid,6
eep,6
junior,6
center,6
river,6
lift,6
escape,6
jerks,6
solve,6
prison,6
frog,6
quimby,6
accept,6
mess,6
envelope,6
truck,6
murdered,6
evidence,6
agreed,6
pretend,6
gods,6
backwards,6
settle,6
drawing,6
juice,6
adults,6
bow,6
pirates,6
doomed,6
cootie,6
washington,6
hurts,6
sidekick,6
stranger,6
theyd,6
scare,6
eats,6
agree,6
pounds,6
banana,6
dummy,6
bomb,6
deep,6
cup,6
points,6
trick,6
fancy,6
autograph,6
hibbert,6
regular,6
showed,6
forgotten,6
mustve,6
model,6
round,6
eve,6
boo,6
wherever,6
dessert,6
powers,6
laddie,6
keeping,6
twice,6
homers,6
bingo,6
butts,6
dressed,6
ding,6
indian,6
island,6
board,6
kearney,6
ducks,6
near,6
drugs,6
boxes,6
balls,6
booze,6
hoover,6
percent,6
spread,6
lay,6
super,6
saving,6
heal,6
figured,6
weeks,6
wedding,6
seconds,6
code,6
version,6
boxing,6
library,6
basketball,6
hood,6
ornament,6
ending,6
speech,6
daddys,6
vroom,6
activity,6
rap,6
pranks,6
stanley,6
notes,6
awww,6
lameo,6
minibike,6
roosevelt,6
aooga,6
voodoo,6
lassen,6
spy,6
asbestos,6
slide,5
lewis,5
fallout,5
dime,5
humiliating,5
arms,5
held,5
moon,5
rain,5
sleepover,5
ground,5
ended,5
share,5
yup,5
loves,5
piano,5
training,5
awful,5
karate,5
aside,5
dies,5
lick,5
horses,5
picking,5
although,5
gang,5
whenever,5
chest,5
community,5
beauty,5
prize,5
bless,5
hats,5
ahhh,5
child,5
nightmare,5
paw,5
busted,5
pink,5
champ,5
needed,5
shopping,5
spirit,5
crank,5
sorta,5
fiftytwo,5
bee,5
calls,5
wha,5
universe,5
useless,5
kitchen,5
whoops,5
foot,5
wine,5
damned,5
months,5
suppose,5
breath,5
runs,5
keepin,5
operation,5
neck,5
precious,5
lights,5
noooo,5
garage,5
bum,5
interest,5
block,5
condition,5
kissing,5
standards,5
freedom,5
zing,5
bacon,5
wire,5
bobs,5
pardon,5
testify,5
zombies,5
indeed,5
punish,5
bells,5
complain,5
swallow,5
tongue,5
jones,5
robin,5
train,5
monorail,5
counting,5
wore,5
tom,5
barts,5
faking,5
hidden,5
series,5
shake,5
spray,5
involved,5
musical,5
irish,5
morphine,5
sugar,5
hook,5
interested,5
plant,5
appear,5
cards,5
serious,5
whod,5
appreciate,5
beloved,5
gum,5
vision,5
uhh,5
couldve,5
donny,5
strength,5
naked,5
security,5
strangle,5
aha,5
hated,5
caught,5
dentist,5
sucked,5
grief,5
yesterday,5
sissy,5
license,5
filled,5
glasses,5
blah,5
axe,5
decent,5
students,5
opening,5
cameras,5
mouse,5
fireworks,5
numbers,5
fox,5
glue,5
fifth,5
jealous,5
hobo,5
government,5
clear,5
ignore,5
listening,5
expect,5
balloon,5
certainly,5
babe,5
snot,5
crowd,5
meh,5
schools,5
spin,5
problems,5
jazz,5
lemon,5
leader,5
religious,5
families,5
delivery,5
grew,5
quarter,5
traded,5
homeboy,5
pure,5
embarrassing,5
marge,5
houten,5
colors,5
bush,5
complete,5
indians,5
valuable,5
roger,5
hotel,5
beers,5
vegas,5
worlds,5
didja,5
stunt,5
creepy,5
loose,5
serve,5
alien,5
others,5
playdude,5
poochie,5
possibly,5
throwing,5
bread,5
whatre,5
plastic,5
rats,5
vegetarian,5
pep,5
gather,5
owns,5
yard,5
soft,5
russia,5
marriage,5
soccer,5
letting,5
enter,5
shirt,5
wendell,5
draw,5
blew,5
gut,5
cage,5
lotta,5
dying,5
museum,5
sayin,5
allowed,5
trap,5
electric,5
league,5
tattoo,5
doo,5
