word,freq
piece,40
answer,40
pie,40
hero,39
trouble,39
surprise,39
land,39
quiet,39
ride,39
send,39
girls,39
takes,39
bought,39
beat,39
cheese,39
terrible,39
set,39
cat,39
act,39
gun,39
unless,39
kidding,38
eye,38
fair,38
nine,38
daughter,38
chocolate,38
wedding,38
birthday,38
tree,38
horse,38
hungry,38
straight,38
american,38
awesome,38
worst,37
monkey,37
seem,37
seven,37
wonder,37
human,37
tried,37
bill,37
wearing,37
football,37
laugh,37
trip,37
cake,37
thatll,37
started,37
mouth,37
pal,37
wed,37
tired,37
grampa,37
driving,37
explain,36
gas,36
stuck,36
twenty,36
movies,36
doctor,36
dollar,36
college,36
gay,36
tickets,36
pizza,36
seems,36
precious,36
ohhh,35
hows,35
nah,35
proud,35
present,35
killed,35
handle,35
quick,35
selma,35
brother,35
heaven,35
table,35
cute,34
kinda,34
pass,34
touch,34
lesson,34
bowl,34
gettin,34
dammit,34
giving,34
delicious,34
garbage,34
along,34
angry,34
war,34
bear,34
hang,34
fix,33
attention,33
case,33
question,33
person,33
paper,33
wake,33
deserve,33
questions,33
likes,33
absolutely,33
lots,32
losers,32
shirt,32
different,32
wear,32
feet,32
black,32
idiot,32
body,32
worth,32
wha,32
doh,32
either,32
bag,32
space,32
pain,32
earth,32
computer,32
jesus,32
roll,31
stick,31
shows,31
date,31
magic,31
step,31
floor,31
chief,31
chicken,31
hurry,31
moment,31
safe,31
clear,31
parents,31
trust,31
felt,31
king,31
horrible,31
outside,31
rules,31
order,31
respect,30
legs,30
bowling,30
age,30
somewhere,30
knock,30
sold,30
loved,30
bit,30
early,30
forgive,30
build,30
low,30
angel,30
born,30
ruined,30
dirty,30
anybody,30
taken,30
speak,30
tony,30
screw,30
promised,29
none,29
light,29
normal,29
weight,29
gives,29
changed,29
finish,29
ohh,29
less,29
hug,29
sauce,29
pork,29
shouldnt,29
fake,29
parking,29
boat,29
feels,29
loser,29
instead,29
art,29
husband,28
mail,28
playing,28
sleeping,28
nose,28
shoot,28
sandwich,28
mothers,28
everythings,28
gift,28
hide,28
past,28
ray,28
window,28
dig,28
interesting,28
burn,28
ticket,28
judge,28
toilet,28
soul,28
suckers,28
using,28
milk,27
bottle,27
admit,27
ugly,27
usually,27
nope,27
gee,27
missing,27
laughing,27
fancy,27
ladies,27
follow,27
honor,27
test,27
child,27
safety,27
marry,27
swear,27
cover,27
aww,27
quite,27
small,27
worked,27
share,27
prison,27
couch,27
robot,27
luck,27
missed,27
donut,27
steak,27
prove,27
met,27
pig,27
fell,26
white,26
ring,26
owe,26
month,26
police,26
turkey,26
loving,26
weeks,26
vacation,26
needed,26
duff,26
foot,26
feelings,26
seat,26
dee,26
worlds,26
meat,26
sad,26
lunch,26
leaving,26
waiting,26
happens,26
giant,26
clown,26
plane,26
geez,26
died,26
dude,26
holy,25
names,25
cash,25
mistake,25
fly,25
club,25
grave,25
caught,25
oclock,25
heads,25
marges,25
smithers,25
steal,25
truck,25
taste,25
stars,25
shall,25
coffee,25
blame,25
plow,25
sucker,25
keys,25
ate,25
suck,25
double,25
third,25
amazing,25
sense,24
kick,24
paying,24
broke,24
nothin,24
fall,24
built,24
miracle,24
hole,24
drop,24
private,24
donuts,24
starting,24
gods,24
werent,24
tape,24
thy,24
shell,24
usa,24
tight,24
lazy,24
system,24
sports,24
glasses,24
twelve,24
bus,24
blow,24
park,24
realize,23
biggest,23
whatd,23
clothes,23
gentlemen,23
treat,23
plenty,23
dumb,23
grow,23
dump,23
wrote,23
calm,23
patty,23
building,23
stomach,23
punch,23
ahh,23
though,23
insurance,23
sing,23
radio,23
lying,23
naked,23
join,23
seeing,23
bacon,23
moving,23
bathroom,23
kitchen,23
middle,23
key,23
milhouse,23
feed,23
mayor,23
single,23
longer,23
vote,22
famous,22
panic,22
neck,22
junk,22
deep,22
reading,22
bye,22
button,22
push,22
dreams,22
stopped,22
faster,22
theyve,22
tough,22
price,22
wind,22
bible,22
babies,22
broken,22
sitting,22
running,22
size,22
pounds,22
figure,22
bless,22
mister,22
genius,22
happening,22
killing,22
group,22
fortune,22
animals,22
agree,22
charge,22
elephant,22
secrets,22
gotten,21
glass,21
weekend,21
gold,21
simple,21
arm,21
scary,21
calling,21
service,21
fit,21
apologize,21
stealing,21
listening,21
rid,21
goodnight,21
company,21
sky,21
thirty,21
count,21
closer,21
sent,21
mood,21
star,21
mate,21
peace,21
poison,21
fact,21
practice,21
realized,21
gravy,21
band,21
sister,21
fighting,21
wall,21
everyones,21
lookin,21
honest,20
cable,20
yard,20
oops,20
bunch,20
aint,20
ways,20
cry,20
pfft,20
leader,20
slow,20
whew,20
shake,20
law,20
fired,20
john,20
state,20
sunday,20
meant,20
animal,20
regular,20
trick,20
nooo,20
meeting,20
train,20
keeps,20
skinner,20
public,20
pee,20
memory,20
asleep,20
helping,20
books,20
mrs,20
taught,20
especially,20
internet,20
message,20
walking,20
saving,20
circus,20
alcohol,19
operation,19
dry,19
figured,19
raise,19
sweetheart,19
apple,19
lawn,19
potato,19
mel,19
talkin,19
restaurant,19
tip,19
spare,19
cost,19
spot,19
pregnant,19
center,19
someday,19
cookie,19
larry,19
sticks,19
ridiculous,19
daughters,19
sun,19
bat,19
standing,19
romantic,19
voice,19
moon,19
wild,19
return,19
queen,19
stories,19
jail,19
revenge,19
bob,19
nerds,19
list,19
jerks,19
fear,19
plus,19
lies,19
corn,19
choice,19
ruin,19
bald,18
wondering,18
able,18
stole,18
form,18
sea,18
shame,18
dying,18
smoke,18
jobs,18
ahhh,18
camera,18
fresh,18
invented,18
color,18
leg,18
months,18
season,18
finger,18
beach,18
chop,18
army,18
memories,18
sucks,18
bird,18
summer,18
calls,18
advice,18
round,18
saturday,18
completely,18
percent,18
santa,18
dark,18
kent,18
fox,18
race,18
cruel,18
certainly,18
ocean,18
control,18
sexy,18
voop,18
stink,17
looked,17
crime,17
road,17
neighbors,17
truly,17
letter,17
yknow,17
pink,17
awww,17
spirit,17
serious,17
hed,17
cars,17
hollywood,17
princess,17
warn,17
field,17
fifteen,17
closed,17
borrow,17
flying,17
starts,17
upset,17
information,17
known,17
hospital,17
careful,17
character,17
cops,17
spending,17
code,17
fool,17
blew,17
ideas,17
gotcha,17
captain,17
commercial,17
jimmy,17
cats,17
evil,17
nature,17
dare,17
wifes,17
jump,17
smells,17
film,17
meow,17
ship,17
island,17
support,17
bucket,17
fruit,17
chops,17
bush,17
baseball,17
credit,17
mess,17
onto,17
totally,17
whoop,17
although,16
roof,16
acting,16
dress,16
waste,16
jokes,16
strong,16
cheap,16
writing,16
threw,16
visit,16
cards,16
awful,16
finished,16
seconds,16
todays,16
yell,16
grab,16
decided,16
teacher,16
magical,16
games,16
singing,16
across,16
york,16
possibly,16
balls,16
keeping,16
whered,16
bigger,16
record,16
grand,16
ear,16
camp,16
painting,16
history,16
beloved,16
everywhere,16
classic,16
fathers,16
asked,16
pretend,16
green,16
bank,16
english,16
knees,16
swing,16
tom,16
named,16
howd,16
lemme,16
station,16
forty,16
suit,16
protect,16
bears,16
possible,16
block,16
street,16
anniversary,16
drugs,16
santas,16
hurts,15
extra,15
